Site,Brand,ItemCode,URL,Price,Type,Title,Availability,Material,Colour,Size,Model,Description,Condition,Time
Feelway,damir doma,4154405421,https://www.feelway.com/gv_Other_Brand_4154405421.html,0.09680809872164338 USD,N/A,18 F/W 다미르 도마 X 로또 윌리 스웨트셔츠  CF1M0009_J2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:54.639157
Feelway,damir doma,3628133202,https://www.feelway.com/gv_Other_Brand_3628133202.html,0.029209340131530332 USD,N/A,사일런트 다미르도마 스웻셔츠,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:58.258150
Feelway,damir doma,2568715108,https://www.feelway.com/gv_Other_Brand_2568715108.html,0.04423128648488879 USD,N/A,"중고
 다미르도마 티셔츠 (새상품)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:02:01.779492
Feelway,damir doma,3858470757,https://www.feelway.com/gv_Other_Brand_3858470757.html,0.12935564915392006 USD,N/A,"중고
 넘  고급진 스톨 ;매장가 70만원",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:02:05.860697
Feelway,damir doma,4091968883,https://www.feelway.com/gv_Other_Brand_4091968883.html,0.10682272962388237 USD,N/A,다미르도마 백 맨 맨 DDW19801,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:02:09.787763
kindal,DAMIR DOMA,kindal_8001000150162,https://shop.kind.co.jp/item/8001000150162/,0.04623383003111183 USD,N/A,テーラードジャケット 【SALE】,AVAILABLE,コットン63％ ペーパー37％,ネイビー,44,N/A,,,2020-08-08 09:04:27.691502
kindal,Silent by Damir Doma,kindal_8001000138900,https://shop.kind.co.jp/item/8001000138900/,0.036987064024889466 USD,N/A,ニットブルゾン 【SALE】,AVAILABLE,毛50％ レーヨン32％ カシミヤ11％ ポリアミド7％,ベージュ,S,N/A,,,2020-08-08 09:04:46.016160
poshmark,Damir Doma,poshmark_5d36389dfe19c7bd32f10d46,https://poshmark.com/listing/Damir-Doma-Silent-Black-short-sleeve-jacket-E21-5d36389dfe19c7bd32f10d46,125.00000000000001 USD,Women-Jackets_&_Coats,N/A,N/A,N/A,Black,M,N/A,N/A,N/A,2020-08-08 09:10:13.852563
poshmark,Damir Doma,poshmark_5eb90159bcdb2f4e69c71079,https://poshmark.com/listing/Damir-Doma-ZipUp-Jacket-5eb90159bcdb2f4e69c71079,165.0 USD,Women-Jackets_&_Coats,N/A,N/A,N/A,Blue,XS,N/A,N/A,N/A,2020-08-08 09:10:33.048936
poshmark,Damir Doma,poshmark_5ed2be232f3d1975b1b2a2b1,https://poshmark.com/listing/Damir-Doma-blue-sleeveless-long-top-paneled-5ed2be232f3d1975b1b2a2b1,50.0 USD,Women-Tops,N/A,N/A,N/A,Blue,S,N/A,N/A,N/A,2020-08-08 09:10:49.563484
poshmark,Damir Doma,poshmark_5efd3b0188cce3754c5149e9,https://poshmark.com/listing/DAMIR-DOMAHandmade-salmon-shirt-5efd3b0188cce3754c5149e9,90.0 USD,Men-Shirts-Dress_Shirts,N/A,N/A,N/A,Pink,small,N/A,N/A,N/A,2020-08-08 09:11:05.336696
poshmark,Damir Doma,poshmark_5f21d44be107bb71214f0fd8,https://poshmark.com/listing/NWT-DAMIR-DOMA-SILENT-COTTON-KNITTED-TSHIRT-5f21d44be107bb71214f0fd8,115.0 USD,Women-Tops-Tees___Short_Sleeve,N/A,N/A,N/A,White,M,N/A,N/A,N/A,2020-08-08 09:11:39.632825
poshmark,Damir Doma,poshmark_5e44b49d06d59cefa9688718,https://poshmark.com/listing/SILENT-DAMIR-DOMA-Jodum-Sweatcoat-Unisex-5e44b49d06d59cefa9688718,190.0 USD,Men-Jackets_&_Coats,N/A,N/A,N/A,Black,S,N/A,N/A,N/A,2020-08-08 09:12:06.379202
poshmark,Damir Doma,poshmark_5edec9e2771b8e89b33d5e44,https://poshmark.com/listing/Damir-Doma-Silent-Sweatshirt-Knit-wwoven-back-5edec9e2771b8e89b33d5e44,109.0 USD,Men-Shirts-Sweatshirts_&_Hoodies,N/A,N/A,N/A,Gray,S,N/A,N/A,N/A,2020-08-08 09:12:24.254411
poshmark,Damir Doma,poshmark_5d824d9fafade8d923f4fa27,https://poshmark.com/listing/sale-Damir-Doma-high-rise-cropped-slacks-5d824d9fafade8d923f4fa27,175.0 USD,Women-Pants_&_Jumpsuits-Ankle_&_Cropped,N/A,N/A,N/A,Green,M,N/A,N/A,N/A,2020-08-08 09:12:58.450920
poshmark,Damir Doma,poshmark_5f21bb30162958ca7b20d683,https://poshmark.com/listing/NWT-Damir-Doma-Deledda-Tunic-Virgin-Wool-Dress-5f21bb30162958ca7b20d683,520.0 USD,Women-Dresses,N/A,N/A,N/A,Black,S,N/A,N/A,N/A,2020-08-08 09:13:18.745780
poshmark,Damir Doma,poshmark_5ecdbcf212d880f3d57dd9ff,https://poshmark.com/listing/Silent-Damir-Doma-flats-Art-sz-39-9-brown-leather-5ecdbcf212d880f3d57dd9ff,190.0 USD,Women-Shoes-Flats_&_Loafers,N/A,N/A,N/A,Brown,9,N/A,N/A,N/A,2020-08-08 09:13:32.185680
Y!J,DAMIR DOMA,Y!J_l608075326,https://page.auctions.yahoo.co.jp/jp/auction/l608075326,0.055480596037334205 USD,ファッション メンズファッション Tシャツ 長袖 Mサイズ ,★【送料無料】16ss SILENT DAMIR DOMA サイレント ダミール ドーマ(ダミール ドマ)切りっ放しレイヤード加工ロンTシャツ ロングスリーブ M,2020.08.07（金）23:37,N/A,N/A,N/A,N/A,N/A,やや傷や汚れあり,2020-08-08 09:30:17.800688
Y!J,N/A,Y!J_h494037637,https://page.auctions.yahoo.co.jp/jp/auction/h494037637,0.1664417881120026 USD,ファッション メンズファッション ジャケット、上着 ジャンパー、ブルゾン ジャンパー、ブルゾン一般 Mサイズ ,ダミールドーマ/DAMIR DOMA /DAMIR DOMA MA-1 ボンバー ミリタリー ブルゾン ジャケット,2020.08.07（金）22:12,N/A,N/A,N/A,N/A,N/A,傷や汚れあり,2020-08-08 09:30:41.961178
TheNextCloset,damir doma,thenextcloset_215065,https://thenextcloset.com//jurken/damir-doma/215065,85.8344 USD,N/A,N/A,N/A,Synthetisch,Blauw,36,N/A,Mooi vallende jurk van Damir Doma.,Zeer goed,2020-08-08 09:31:16.379523
TheNextCloset,damir doma,thenextcloset_289548,https://thenextcloset.com//lange-broeken/damir-doma/289548,74.54039999999999 USD,N/A,N/A,N/A,Polyester,Andere kleur,38,N/A,"Fraaie camelkleurige broek van Damir Doma, type Silent. Maat medium.",(Zo goed als) nieuw,2020-08-08 09:31:17.379349
TheNextCloset,damir doma,thenextcloset_383601,https://thenextcloset.com//vesten/damir-doma/383601,55.340599999999995 USD,N/A,N/A,N/A,Katoen,Grijs,36,N/A,Tof sportief golfje is een zacht katoen.,Goed,2020-08-08 09:31:18.671703
