Site,Brand,ItemCode,URL,Price,Type,Title,Availability,Material,Colour,Size,Model,Description,Condition,Time
ricardo,prada,ricardo_1084716694,https://www.ricardo.ch/de/a/prada-gr.-40-1084716694/,157.29805013927577 USD,Prada / Gr. 40,N/A,N/A,N/A,N/A,N/A,N/A,1 Mal angehabt,N/A,2020-08-08 09:19:33.028534
ricardo,prada,ricardo_1127567460,https://www.ricardo.ch/de/a/prada-abendkleid-it.-gr.-42-36-37-d-1127567460/,157.29805013927577 USD,Prada Abendkleid It. Gr. 42 = 36/37 D,N/A,N/A,N/A,N/A,N/A,N/A,Wunderschönes Abendkleid italienische Gr. 42 / Deutschland 36,N/A,2020-08-08 09:19:36.834254
ricardo,prada,ricardo_1127618200,https://www.ricardo.ch/de/a/prada-ledertasche-1127618200/,576.7595171773445 USD,Prada Ledertasche,N/A,N/A,N/A,N/A,N/A,N/A,Prada Shoulder bag cognac ,N/A,2020-08-08 09:19:39.518478
ricardo,prada,ricardo_1113765702,https://www.ricardo.ch/de/a/neue-prada-schuhe-damen-38-1113765702/,52.432683379758586 USD,Neue Prada Schuhe Damen 38,N/A,N/A,N/A,N/A,N/A,N/A,"Ist absolut neue. Grosse 37,5 . Sehr bequem. Sehr schön. Schauen Sie bitte meine weitere Angebote zum Versand sparen.",N/A,2020-08-08 09:19:41.766040
ricardo,prada,ricardo_1127305518,https://www.ricardo.ch/de/a/prada-rucksack-1127305518/,618.7056638811513 USD,Prada Rucksack,N/A,N/A,N/A,N/A,N/A,N/A,Originaler Prada Rucksack (Stoff mit Seffiano-Besatz),N/A,2020-08-08 09:19:44.671000
ricardo,prada,ricardo_1119792908,https://www.ricardo.ch/de/a/original-prada-sneakers-41-1119792908/,68.16248839368616 USD,Original Prada sneakers 41,N/A,N/A,N/A,N/A,N/A,N/A,Wie neu da nur 2mal getragen 100% Original,N/A,2020-08-08 09:19:47.436558
